importer,exporter,rank,total_import_usd
BUMCHUN PRECISION VINA,"APCB ELECTRONICS(KUNSHAN)CO.,LTD.",1.0,3554936387.603288
BUMCHUN PRECISION VINA,"FUXIANHENG (DONGGUAN) INTELLIGENT TECHNOLOGY CO., LTD",1.0,3554936387.603288
BUMCHUN PRECISION VINA,KERRY EAS LOGISTICS LIMITED SHANGHAI BRANCH,1.0,3554936387.603288
BUMCHUN PRECISION VINA,"SAMSUNG ELECTRONICS(SUZHOU) SEMICONDUCTOR CO.,",1.0,3554936387.603288
BUMCHUN PRECISION VINA,"TRIPOD (WUXI) ELECTRONIC CO.,LTD",1.0,3554936387.603288
BUMCHUN PRECISION VINA,UNIMICRON TECHNOLOGY (KUNSHAN) CORP,1.0,3554936387.603288
SEVT,AMPEREX TECHNOLOGY LIMITED,2.0,2151110669.215601
SEVT,"BEIJING JINGDIAO GROUP CO., LTD",2.0,2151110669.215601
SEVT,"BEIJING JINGDIAO GROUP CO., LTD.",2.0,2151110669.215601
SEVT,BEIJING SYLINCOM TECHNOLOGY CO LTD,2.0,2151110669.215601
SEVT,BOE TECHNOLOGY(HK)LIMITED,2.0,2151110669.215601
SEVT,"BYD LITHIUM BATTERY CO.,LTD",2.0,2151110669.215601
SEVT,"CONPROFE TECHNOLOGY GROUP CO., LTD.",2.0,2151110669.215601
SEVT,"CSUNG NANO TECH CO.,LTD",2.0,2151110669.215601
SEVT,"DONGGUAN CHITWING TECHNOLOGIES CO., LTD.",2.0,2151110669.215601
SEVT,"DONGGUAN SAMKWANG SCIENCE & TECHNOL OGY CO.,LTD",2.0,2151110669.215601
SEVT,"DONGGUAN SAMKWANG SCIENCE & TECHNOLOGY CO., LTD",2.0,2151110669.215601
SEVT,"ELECTRIC CONNECTOR TECHNOLOGY CO., LTD",2.0,2151110669.215601
SEVT,"GUANGDONG DTECH TECHNOLOGY CO.,LTD",2.0,2151110669.215601
SEVT,GUANGDONG HUICHENG VACUUM TECHNOLOGY,2.0,2151110669.215601
SEVT,GUANGDONG HUICHENG VACUUM TECHNOLOGY  l.td),2.0,2151110669.215601
SEVT,GUANGDONG HUICHENG VACUUM TECHNOLOGY CO LTD,2.0,2151110669.215601
SEVT,"GUANGDONG HUICHENG VACUUM TECHNOLOGY CO., LTD",2.0,2151110669.215601
SEVT,"GUANGDONG HUICHENG VACUUM TECHNOLOGY CO.,LTD",2.0,2151110669.215601
SEVT,GUANGDONG XINYUDA MACHINERY EQUIPMENT COMPANY LIMITED,2.0,2151110669.215601
SEVT,"GUANGDONG ZONGSHENG NEW MATERIALS C O.,LTD.",2.0,2151110669.215601
SEVT,GUOHONG TOOLS SYSTEM WUXI CO LTD,2.0,2151110669.215601
SEVT,"GUOHONG TOOLS SYSTEM WUXI CO.,LTD",2.0,2151110669.215601
SEVT,"GUOHONG TOOLS SYSTEM WUXI CO.,LTD.",2.0,2151110669.215601
